,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,145,Binance,XMR/BTC,8055.18,146,Recently,6332230,0.12
Bitcoin Markets,146,Binance,QLC/BTC,7986.08,147,Recently,6306220,0.11
Bitcoin Markets,147,Binance,EDO/BTC,8040.3,148,Recently,6256960,0.11
Bitcoin Markets,148,Bit-Z,ETC/BTC,8065.13,149,Recently,6214620,0.11
Bitcoin Markets,149,IDAX,EOS/BTC,8159.39,150,Recently,6210320,0.11
Bitcoin Markets,150,OKEx,BTM/BTC,8059.62,151,Recently,6209670,0.11
Bitcoin Markets,151,YoBit,DASH/BTC,8052.48,152,Recently,6137610,0.11
Bitcoin Markets,152,Lbank,ZEC/BTC,8015.7,153,Recently,6074270,0.11
Bitcoin Markets,153,CEX.IO,BTC/USD,8000.9,154,Recently,6070840,0.11
Bitcoin Markets,154,Huobi,ONT/BTC,8045.88,155,Recently,5974830,0.11
Bitcoin Markets,155,Huobi,PROPY/BTC,8029.56,156,Recently,5949060,0.11
Bitcoin Markets,156,Upbit,GUP/BTC,8059.36,157,Recently,5948450,0.11
Bitcoin Markets,157,Binance,SNT/BTC,8024.75,158,Recently,5908710,0.11
Bitcoin Markets,158,BitBay,BTC/PLN,8043.65,159,Recently,5795740,0.11
Bitcoin Markets,159,HitBTC,XMR/BTC,8057.86,160,Recently,5788560,0.11
Bitcoin Markets,160,Bittrex,ETH/BTC,8038.03,161,Recently,5767270,0.1
Bitcoin Markets,161,Bittrex,XLM/BTC,8048.95,162,Recently,5705680,0.1
Bitcoin Markets,162,OKEx,SWFTC/BTC,8016.06,163,Recently,5654600,0.1
Bitcoin Markets,163,Ethfinex,OMG/BTC,8065.78,164,Recently,5537680,0.1
Bitcoin Markets,164,EXX,BTC/USDT,8033.14,165,Recently,5486920,0.1
Bitcoin Markets,165,Binance,BQX/BTC,8032.07,166,Recently,5478660,0.1
Bitcoin Markets,166,Binance,ENJ/BTC,8021.55,167,Recently,5467610,0.1
Bitcoin Markets,167,Binance,NULS/BTC,8015.33,168,Recently,5402770,0.1
Bitcoin Markets,168,Huobi,KNC/BTC,7989.07,169,Recently,5398270,0.1
Bitcoin Markets,169,Huobi,ACT/BTC,8015.62,170,Recently,5372390,0.1
Bitcoin Markets,170,Negocie Coins,BTC/BRL,8182.12,171,Recently,5310130,0.1
Bitcoin Markets,171,Upbit,LRC/BTC,8051.98,172,Recently,5280790,0.1
Bitcoin Markets,172,OKEx,HSR/BTC,7993.1,173,Recently,5260300,0.1
Bitcoin Markets,173,Bittrex,TRX/BTC,8055.66,174,Recently,5233920,0.1
Bitcoin Markets,174,Upbit,TRX/BTC,8039.9,175,Recently,5222760,0.1
Bitcoin Markets,175,YoBit,ZEC/BTC,8099.48,176,Recently,5174070,0.09
Bitcoin Markets,176,Paribu,BTC/TRY,7965.14,177,Recently,5156320,0.09
Bitcoin Markets,177,Huobi,OMG/BTC,8045.95,178,Recently,5134850,0.09
Bitcoin Markets,178,Poloniex,ETH/BTC,8053.04,179,Recently,5111040,0.09
Bitcoin Markets,179,Bittrex,XEM/BTC,8054.38,180,Recently,4922640,0.09
Bitcoin Markets,180,WEX,BCH/BTC,8044.93,181,Recently,4913500,0.09
Bitcoin Markets,181,Binance,QSP/BTC,8005.35,182,Recently,4880230,0.09
Bitcoin Markets,182,Bitfinex,MIOTA/BTC,8045.42,183,Recently,4835010,0.09
Bitcoin Markets,183,Exrates,BTC/USD,8237.55,184,Recently,4731250,0.09
Bitcoin Markets,184,ZB.COM,ETH/BTC,8021.58,185,Recently,4727610,0.09
Bitcoin Markets,185,Qryptos,DRG/BTC,7993.98,186,Recently,4706610,0.09
Bitcoin Markets,186,Huobi,ZIL/BTC,8025.04,187,Recently,4698560,0.09
Bitcoin Markets,187,Poloniex,XRP/BTC,8039.76,188,Recently,4693350,0.09
Bitcoin Markets,188,Gate.io,BTC/USDT,8071.99,189,Recently,4573720,0.08
Bitcoin Markets,189,Huobi,ITC/BTC,8031.83,190,Recently,4559290,0.08
Bitcoin Markets,190,HitBTC,ZEC/BTC,8103.82,191,Recently,4553260,0.08
Bitcoin Markets,191,Poloniex,STR/BTC,8007.86,192,Recently,4549770,0.08
Bitcoin Markets,192,Binance,BCPT/BTC,8042.54,193,Recently,4537450,0.08
Bitcoin Markets,193,Huobi,IOST/BTC,8047.4,194,Recently,4531710,0.08
Bitcoin Markets,194,IDAX,OMG/BTC,8043.81,195,Recently,4524290,0.08
Bitcoin Markets,195,HitBTC,BCN/BTC,8030.88,196,Recently,4497380,0.08
Bitcoin Markets,196,Huobi,XRP/BTC,8028.5,197,Recently,4452970,0.08
Bitcoin Markets,197,OKEx,IOTA/BTC,8075.2,198,Recently,4421770,0.08
Bitcoin Markets,198,Binance,POWR/BTC,8006.25,199,Recently,4410320,0.08
Bitcoin Markets,199,Indodax,BTC/IDR,7881.17,200,Recently,4409120,0.08
Bitcoin Markets,200,Bit-Z,LSK/BTC,8034.67,201,Recently,4359720,0.08
Bitcoin Markets,201,Binance,AST/BTC,8028.87,202,Recently,4269790,0.08
Bitcoin Markets,202,Binance,STRAT/BTC,8010.92,203,Recently,4265040,0.08
Bitcoin Markets,203,Binance,MCO/BTC,8009.47,204,Recently,4259620,0.08
Bitcoin Markets,204,Binance,RLC/BTC,8055.93,205,Recently,4238250,0.08
Bitcoin Markets,205,Bibox,BTC/USDT,8043.88,206,Recently,4223040,0.08
Bitcoin Markets,206,Coinroom,BTC/EUR,8159.77,207,Recently,4167090,0.08
Bitcoin Markets,207,Bittrex,LRC/BTC,7983.61,208,Recently,4129580,0.08
Bitcoin Markets,208,Binance,LRC/BTC,7929.74,209,Recently,4054600,0.07
Bitcoin Markets,209,Binance,GTO/BTC,8017.58,210,Recently,4053110,0.07
Bitcoin Markets,210,Bittrex,DOGE/BTC,8153.77,211,Recently,4028410,0.07
Bitcoin Markets,211,Binance,VIB/BTC,8002.01,212,Recently,3921440,0.07
Bitcoin Markets,212,Bittrex,XRP/BTC,8016.29,213,Recently,3907940,0.07
Bitcoin Markets,213,Binance,TRIG/BTC,8022.4,214,Recently,3813620,0.07
